,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId
2220,2220,False,,0,"Fantasy,Drama,Comedy",,2657,tt0120789,English,Pleasantville,"Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer's modern attitude disrupts Pleasantville's peaceful but boring routine, she literally brings color into its life.",11.0874,/cKL23HqEEQis7Nbasr5kSyolbFZ.jpg,"New_Line_Cinema,Larger_Than_Life_Productions",United_States_of_America,1998-09-17,0.0,124.0,English,Released,Nothing is as simple as black and white.,Pleasantville,False,7.1,498.0,1998,"Tobey Maguire,Reese Witherspoon,William H. Macy,Joan Allen,Jeff Daniels,Don Knotts,Paul Walker,Jane Kaczmarek,J.T. Walsh,Marley Shelton,Giuseppe Andrews,Marissa Ribisi,Jason Behr,Jenny Lewis,Marc Blucas,Dawn Cody",Gary Ross,"brother sister relationship,tv show,dystopia,book burning,satire,coming of age,racism,black and white,alternate reality,colour",2657.0,73629.0,36685.0
2466,2466,False,,80000000,Comedy,,11374,tt0131369,English,Edtv,Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.,7.48939,/sF3YBtYn6yAHMPDbiC58WArIWMl.jpg,"Imagine_Entertainment,Universal_Pictures",United_States_of_America,1999-03-26,0.0,122.0,English,Released,Fame. Be careful. It's out there.,Edtv,False,5.7,168.0,1999,"Matthew McConaughey,Woody Harrelson,Sally Kirkland,Jenna Elfman,Martin Landau,Ellen DeGeneres,Rob Reiner,Dennis Hopper,Elizabeth Hurley,Adam Goldberg,Viveka Davis,Clint Howard,Geoffrey Blake,Gail Boggs,Jenna Byrne,Greg Sestero,RuPaul,Merrin Dungey,Ian Gomez,Gavin Grazer,Chris Hogan,Arianna Huffington,Larry ""Flash"" Jenkins,Wendle Josepher,Scott LaRose,John Livingston,Mitzi McCall,Jim Meskimen,Don Most,Rick Overton,James Ritz,Rusty Schwimmer,Steven Shenbaum,Gedde Watanabe,Steve Kehela,Googy Gress,Jo McGinley,John Pirruccello,Charles Arthur Berg,Anthony Jensen,Sommer Garcia,Jennifer Elise Cox,Alexandra Holden,Mark Wheeler,Anna Karin,George Plimpton,Michael Moore,Merrill Markoe,Bill Maher,Jay Leno,Sonia Bhalla,Joe Bellan",Ron Howard,"tv show,tv station,simulated reality ,reality tv,tv star,tv ratings",,,
7565,7565,False,Silence of God Trilogy by Ingmar Bergman,0,Drama,,29455,tt0057358,Swedish,Nattvardsgästerna,"Master craftsman Ingmar Bergman explores the search for redemption in a meaningless existence. In this stark depiction of spiritual crisis, small-town pastor Tomas Ericsson performs his duties mechanically before a dwindling congregation. When he is asked to assist with a troubled parishioner’s  debilitating fear of nuclear annihilation, Tomas is terrified to find that he can provide nothing but his own uncertainty.",4.338439,/cIwYXrSPf4nIpix6LSdLMGS2BRr.jpg,Svensk_Filmindustri_(SF),Sweden,1963-02-11,0.0,81.0,svenska,Released,,Winter Light,False,7.6,77.0,1963,"Ingrid Thulin,Gunnar Björnstrand,Gunnel Lindblom,Max von Sydow,Allan Edwall,Kolbjörn Knudsen",Ingmar Bergman,"suicide,winter,pastor,faith,priest,meaningless existence",,,
8724,8724,False,The Emigrants Collection,0,"Adventure,Drama",,40732,tt0067919,Swedish,Utvandrarna,"In the middle of the 19th century, Kristina and Karl-Oskar live in a small rural village in Smaaland (southern Sweden). They get married and try to make a living on a small spot of land. However, the small size of their land, the infertile soil, and some bad harvests makes it tough. One of their children even starve to death. Thus, they decide to emigrate to the U.S. They meet a group of farmers with their families planing the emigration under the leadership of a banned priest. They sell everything and embark for the U.S. The journey on the sailing ship is long and tedious. Some of the emigrants will never reach the New World.",2.392021,/qzRbryq6swsFgN3cKnmshjno2GO.jpg,Svensk_Filmindustri_(SF),Sweden,1971-03-08,0.0,191.0,svenska,Released,a new land...a new hope...a new dream,The Emigrants,False,6.8,25.0,1971,"Max von Sydow,Liv Ullmann,Allan Edwall,Eddie Axberg,Monica Zetterlund,Pierre Lindstedt,Hans Alfredson,Sven-Olof Bern",Jan Troell,"ship,sailing ship,journey",40732.0,435625.0,9392.0
11166,11166,False,,0,"Comedy,Drama",http://www.silenstvi.cz/,26826,tt0408120,English,Príbehy obycejného sílenství,A man who deals with parcels at an airport cargo company finds that he likes planes more than people.,0.176722,/pFZonoznO0IiWvWkk1TQEZVh61p.jpg,Negativ,Czech_Republic,2005-02-17,0.0,100.0,Český,Released,,Wrong Side Up,False,6.0,2.0,2005,"Ivan Trojan,Zuzana Šulajová,Jiří Bartoška,Miroslav Krobot,Nina Divíšková,Jana Hubinská",Petr Zelenka,"love of one's life,one-sided love,insanity",26826.0,107376.0,47105.0
11932,11932,False,,2000000,Comedy,,17320,tt0473709,English,The TV Set,"As a writer named Mike struggles to shepherd his semi-autobiographical sitcom into development, his vision is slowly eroded by a domineering network executive named Lenny who favors trashy reality programming. The irony, of course, is that every crass suggestion Lenny makes improves the show's response from test audiences and brings the show a step closer to getting on the air.",4.681832,/8haclPmud98rpnb7SUBHlHOWU8n.jpg,nan,United_States_of_America,2006-04-28,265198.0,87.0,"English,Italiano",Released,A place where dreams are cancelled.,The TV Set,False,6.0,19.0,2006,"David Duchovny,Sigourney Weaver,Ioan Gruffudd,Judy Greer,Fran Kranz,Lindsay Sloane,Justine Bateman,Lucy Davis,Willie Garson,M.C. Gainey,Simon Helberg,Philip Baker Hall,Nat Faxon,Jonathan Silverman,Bree Turner,Seth Green,Kathryn Joosten,Allison Scagliotti",Jake Kasdan,independent film,,,
15104,15104,False,,0,"Thriller,Drama,Horror",,18352,tt0063633,Czech,Spalovač mrtvol,"Kopfrkingl enjoys his job at a crematorium in Czechoslovakia in the late 1930s. He likes reading the Tibetan book of the dead, and espouses the view that cremation relieves earthly suffering.",2.58383,/sQAfwOrQ7JJP7kNP55rzxs3RlBv.jpg,"Filmové_Studio_Barrandov,Sebor",Czech_Republic,1969-03-14,0.0,95.0,Český,Released,,The Cremator,False,8.0,39.0,1969,"Jiří Menzel,Rudolf Hrušínský,Vlasta Chramostová,Jan Vlček,Milos Vognic,Zora Bozinová,Ilja Prachař,Eduard Kohout,Míla Myslíková,Václav Štekl,Helena Anýzová,Jindřich Narenta,Marie Rosulková,Nataša Gollová,Jirí Hálek,Jan Rericha,Oldřich Vízner,Carmen Mayerová,Libuše Pešková,Václav Kotva,Dimitri Rafalsky,Jan Vlček,Václav Halama,František Kubíček,Vera Vlcková,Ruzena Vlcková,Jan Kraus,Jiří Lír,Vladimír Menšík,Jana Šulcová,Jana Stehnová",Juraj Herz,,,,
16752,16752,False,,0,"Drama,Romance",,79731,tt0108256,Hindi,Suraj Ka Satvan Ghoda,"A man shares some lazy memories about his friend, Manek Mulla, who had a knack for telling stories. On this particular afternoon, Manek narrates a 'unique' love affair with the help of different stories, various characters' point of views and the social relevance of these stories. As these stories proceed, reality mixes with fiction.",0.171156,/wxLPTBI22yLoySyiZOKOQWCGouz.jpg,nan,nan,1993-01-02,0.0,130.0,हिन्दी,Released,,Suraj Ka Satvan Ghoda,False,6.2,3.0,1993,"Rajit Kapoor,Siraj Ahmed,Rakesh Dhar,Anang Desai,Mohini Sharma,Himani Shivpuri,Ravi Jhankal,Raghuvir Yadav,Rajeshwari Sachdev",Shyam Benegal,,79731.0,48602.0,149114.0
18136,18136,False,,0,Documentary,,123334,tt0492494,English,TV Junkie,"Rick Kirkham was a reporter for Inside Edition who appeared on a segment called ""Inside Adventure"". From the age of 14, he filmed more than 3,000 hours of a video diary; this included footage during his tenure on Inside Edition during which he was addicted to crack cocaine.",1.139701,/5ar4TOH7lHFbMIm8IjbjByx4cPD.jpg,nan,nan,2006-08-03,0.0,89.0,English,Released,Making Real Life Isn't Easy,TV Junkie,False,7.5,2.0,2006,Rick Kirkham,Michael Caine,drug addiction,,,
21283,21283,False,,0,Comedy,,67272,tt0271031,Swedish,Känd från TV,,0.567912,/zhah4ZBMKhtxPLxJ4JPxemmsKa0.jpg,Svensk_Filmindustri,Sweden,2001-09-21,0.0,101.0,svenska,Released,,Känd från TV,False,5.0,3.0,2001,"Johan Rheborg,Alexandra Rapaport,Kristian Luuk,Gerd Hegnell,Pia Johansson,Martina Haag,Pernilla Stalfelt,Karolina Rahm,Claudia Galli,Ulf Kvensler,Henrik Hjelt,Gloria Tapia,Magnus Härenstam",Fredrik Lindström,"talk show,author",,,
